intento;orientacion;posicion_angular;tipo;excentricidad;frecuencia_espacial;tamanyo;contraste
BL3_1;45,00;0,00;magno;0,00;10,00;0,25;1,00
BL3_2;135,00;0,00;magno;0,00;10,00;0,25;0,50
BL3_3;45,00;0,00;magno;0,00;10,00;0,25;0,25
BL3_4;135,00;0,00;magno;0,00;10,00;0,25;0,10
BL3_5;45,00;0,00;magno;0,00;10,00;0,25;0,05
BL3_6;45,00;0,00;neutro;0,00;10,00;0,25;0,00
BL3_7;45,00;0,00;neutro;0,00;10,00;0,25;1,00
BL3_8;135,00;0,00;neutro;0,00;10,00;0,25;0,50
BL3_9;45,00;0,00;neutro;0,00;10,00;0,25;0,25
BL3_10;135,00;0,00;neutro;0,00;10,00;0,25;0,10
BL3_11;45,00;0,00;parvo;0,00;10,00;0,25;0,05
BL3_12;135,00;0,00;parvo;0,00;10,00;0,25;0,00
BL3_13;45,00;0,00;parvo;0,00;10,00;0,25;0,25
BL3_14;135,00;0,00;parvo;0,00;10,00;0,25;0,25
BL3_15;135,00;0,00;parvo;0,00;10,00;0,25;0,25
